Wall time,Step,Value
1761608442.0532622,25000,1.899999976158142
1761609960.6625552,50000,2.0999999046325684
1761611435.4178305,75000,2.0999999046325684
1761612933.5261335,100000,1.899999976158142
1761614518.7501159,125000,1.5
1761615982.8985777,150000,1.899999976158142
1761617435.786411,175000,1.5
1761618898.7788918,200000,1.7000000476837158
1761620341.075902,225000,2.700000047683716
1761621885.8034348,250000,1.2999999523162842
1761623361.8100019,275000,0.8999999761581421
1761624854.924146,300000,1.2999999523162842
1761626306.3538132,325000,1.899999976158142
1761627766.4219127,350000,1.7000000476837158
1761629337.7262964,375000,2.700000047683716
1761630818.2823546,400000,2.299999952316284
1761632276.2944977,425000,1.7000000476837158
1761633736.0149632,450000,2.0999999046325684
1761635216.8512332,475000,2.5
1761636769.4337559,500000,3.0999999046325684
1761638225.0458663,525000,2.0999999046325684
1761639697.2856007,550000,1.7000000476837158
1761641156.7196124,575000,1.899999976158142
1761642622.12245,600000,2.5
1761644189.781598,625000,2.5
1761645887.6695168,650000,1.2999999523162842
1761648651.007763,675000,1.2999999523162842
1761651302.3739753,700000,1.899999976158142
1761653540.2128365,725000,1.5
1761655387.5318725,750000,0.8999999761581421
1761657938.120313,775000,1.7000000476837158
1761660192.613692,800000,1.899999976158142
1761662519.2420113,825000,2.299999952316284
1761664991.1610396,850000,2.5
1761667695.9390883,875000,3.0999999046325684
1761670396.1816244,900000,0.699999988079071
1761672042.5556524,925000,2.299999952316284
1761674127.5973923,950000,3.700000047683716
1761676549.9009163,975000,3.9000000953674316
1761678466.3750458,1000000,4.099999904632568
