Wall time,Step,Value
1760886465.9669058,17184,1.6800003051757812
1760886724.587495,34552,2.440000295639038
1760886992.9984405,51898,2.7300004959106445
1760887257.7933724,69345,3.310000419616699
1760887527.1119576,86528,3.210000514984131
1760887814.5355003,105510,3.2700002193450928
1760888096.3000712,123347,2.7700002193450928
1760888379.5319116,141209,3.1600005626678467
1760888663.5548365,159379,2.9300003051757812
1760888943.985352,177334,3.1100003719329834
1760889224.0088205,195224,3.4200005531311035
1760889507.2298791,213245,3.4800004959106445
1760889790.1950521,231266,3.4300005435943604
1760890066.4701416,248569,3.4800004959106445
1760890347.7276063,266445,3.5600006580352783
1760890627.7800336,283667,3.4700005054473877
1760890914.2951736,302010,3.530000686645508
1760891199.7055662,319867,3.880000591278076
1760891484.8023336,337964,3.960000514984131
1760891777.544875,356609,4.1800007820129395
1760892068.6496146,375430,3.940000534057617
1760892363.008195,393834,3.9700005054473877
1760892652.7006993,413023,4.4800004959106445
1760892946.290228,431244,3.9800004959106445
1760893241.6068237,450469,4.440001010894775
1760893532.6708562,469114,3.9300005435943604
1760893834.827008,489171,4.0400004386901855
1760894124.3438187,507252,4.190000534057617
1760894419.1408446,526404,4.330000400543213
1760894703.8739367,544390,4.220000743865967
1760894994.8415751,563359,4.470000743865967
1760895312.882723,582518,4.360001087188721
1760895613.397887,602466,4.700000762939453
1760895908.3730655,621318,4.520000457763672
1760896194.9613204,639597,4.660000801086426
1760896482.331008,658034,4.380000591278076
1760896775.816685,676958,4.520000457763672
1760897066.4635005,695161,4.80000114440918
1760897363.522236,714656,4.940001010894775
1760897659.8783145,733713,4.65000057220459
1760897953.3735418,752701,4.870001316070557
1760898252.5798612,771994,4.770000457763672
1760898545.4508464,791048,4.760001182556152
1760898843.7664356,809437,4.880000591278076
1760899138.536305,828920,4.790000915527344
1760899434.8025868,847940,4.7900004386901855
1760899724.117584,866697,4.850001335144043
1760900016.6719832,885582,4.760000705718994
1760900325.3596442,905819,4.6100006103515625
1760900635.3939013,926091,4.9300007820129395
1760900924.8189745,945021,5.02000093460083
1760901223.226954,964280,4.780000686645508
1760901512.5064695,983094,4.560000419616699
