Wall time,Step,Value
1761433026.9556324,16795,1.9002141952514648
1761433266.9432924,33230,2.439448118209839
1761433547.1245499,48956,2.4568259716033936
1761433843.4819825,65544,2.6348202228546143
1761434147.6030135,82417,3.026329278945923
1761434464.8062344,100066,3.0117549896240234
1761434772.9702644,117884,3.13326096534729
1761435054.8159306,136051,3.2973084449768066
1761435339.525288,153956,3.6974599361419678
1761435636.5265243,173189,3.2473576068878174
1761435924.1058042,191121,2.7724993228912354
1761436214.0354035,208862,2.9877500534057617
1761436497.5982337,226401,2.8911449909210205
1761436796.6091673,244612,2.938349485397339
1761437090.8702755,262839,2.585861921310425
1761437378.5258896,280527,2.508281707763672
1761437652.0956893,296999,2.041962146759033
1761437942.0101573,314609,2.1113827228546143
1761438235.3331873,332937,2.147465705871582
1761438526.2943385,351006,3.0233206748962402
1761438819.951861,369627,3.6275272369384766
1761439130.309686,387750,3.8362061977386475
1761439427.772535,406212,4.040187358856201
1761439723.859623,424598,4.006609916687012
1761440009.4285743,441965,4.320155143737793
1761440298.1250668,459794,4.263523101806641
1761440586.7980497,478041,4.170816898345947
1761440882.28672,496777,4.37629508972168
1761441163.9566982,514350,4.195317268371582
1761441467.3363802,533269,4.2256669998168945
1761441758.9054675,551590,4.0738701820373535
1761442056.952414,570708,4.025820255279541
1761442346.3830044,589358,4.229839324951172
1761442644.870542,608692,4.384241580963135
1761442944.634146,628078,4.36983060836792
1761443238.4734871,646549,4.53353214263916
1761443538.4187016,665522,4.263584136962891
1761443831.3166986,684030,3.868614435195923
1761444119.5120058,702254,4.133558750152588
1761444416.0933514,721286,4.200951099395752
1761444712.1230977,740360,4.149805068969727
1761445001.5577538,758783,4.227621555328369
1761445298.9664898,777665,3.8376517295837402
1761445599.511656,797121,4.409092903137207
1761445883.5001762,814921,4.43543004989624
1761446179.4169538,834133,4.304538249969482
1761446472.1922686,852865,4.625840187072754
1761446767.4200056,872098,4.470242500305176
1761447070.4793913,891859,4.39909553527832
1761447385.0016723,912773,4.533108234405518
1761447686.2832398,932484,4.4334940910339355
1761447977.981392,951334,4.046514511108398
1761448279.0281098,971493,4.575204849243164
1761448574.1119504,990699,4.618350028991699
1761448873.8810015,1010461,4.780393600463867
1761449169.6709337,1029693,4.762131690979004
1761449466.3857062,1049592,5.123520851135254
1761449765.457689,1069598,5.294552326202393
1761450057.767598,1088633,5.115597724914551
1761450365.7347348,1109287,5.006049633026123
1761450653.7747834,1127814,5.231986999511719
1761450959.6605783,1147904,5.215807914733887
1761451258.0305145,1167746,5.682683944702148
1761451551.6756809,1186725,5.069060325622559
1761451844.6947703,1205924,5.247964382171631
1761452135.7083454,1224787,5.322430610656738
1761452441.7958546,1244695,5.229951858520508
1761452738.3725984,1263989,5.264111518859863
1761453037.838049,1283878,5.446488380432129
1761453335.3035662,1303225,5.04973030090332
1761453633.8844829,1323038,5.356053352355957
1761453938.405401,1343321,5.18854284286499
1761454246.505225,1363482,5.373922348022461
1761454554.965129,1383633,4.982339859008789
1761454859.9881384,1404080,5.137175559997559
1761455162.9364552,1424018,5.249064922332764
1761455472.4040537,1444898,5.407654285430908
1761455780.5988195,1465389,5.5284624099731445
1761456090.9388978,1486239,5.492323875427246
1761456403.580251,1507218,4.843538761138916
1761456714.4520793,1528434,5.227690696716309
1761457016.9101422,1548333,5.441919326782227
1761457316.8938763,1568216,5.37237548828125
1761457626.2854903,1588809,5.213808536529541
1761457944.5231478,1610298,5.855170726776123
1761458251.864626,1630488,5.843609809875488
1761458560.5630784,1651351,5.553716659545898
1761458873.642231,1672502,5.815989017486572
1761459190.7778325,1694208,5.812380790710449
1761459498.741621,1714980,5.736376762390137
1761459807.7371142,1735705,5.919292449951172
1761460113.9747345,1755980,5.776115417480469
1761460421.738519,1776756,5.782312870025635
1761460725.7137353,1797065,5.855869293212891
1761461040.1861675,1818662,5.774959087371826
1761461355.8252518,1840268,5.959506988525391
1761461668.5745242,1861381,5.755275726318359
1761461990.3872354,1883111,5.82498836517334
1761462301.2633903,1904157,5.972372531890869
1761462619.4056208,1926010,5.742201805114746
1761462933.978625,1947337,5.504984378814697
1761463243.6715653,1968111,5.698587417602539
1761463570.5937712,1990937,5.560939788818359
