Wall time,Step,Value
1760991409.1892006,17549,1.9546425342559814
1760991650.9330657,34271,2.5491249561309814
1760991909.2639527,51509,3.1219966411590576
1760992177.7743638,68908,3.2525017261505127
1760992459.0810804,86589,3.604954242706299
1760992743.174534,104054,3.440568208694458
1760993017.0557258,120994,2.6116254329681396
1760993289.262271,137741,2.0659499168395996
1760993571.8454783,155732,2.7518110275268555
1760993853.055448,174036,3.0808820724487305
1760994145.6241283,193040,3.074936866760254
1760994431.0555623,211593,3.672382354736328
1760994709.274313,229557,3.5771074295043945
1760994989.303868,247528,3.683051586151123
1760995281.622474,265240,3.9349939823150635
1760995599.5173845,283463,4.398096084594727
1760995889.3449244,301241,4.042555809020996
1760996173.8907676,319564,4.0466628074646
1760996460.9401586,337536,4.01583194732666
1760996765.7866156,356001,4.53571891784668
1760997064.2197359,374784,4.670837879180908
1760997364.8013544,393931,4.398567199707031
1760997656.5576987,412702,5.105542182922363
1760997983.2299173,431456,4.908980369567871
1760998343.747555,451066,5.1199235916137695
1760998679.491399,470577,4.939591407775879
1760998975.4327958,489595,5.092104911804199
1760999256.7302608,508164,4.810206890106201
1760999548.9440103,527415,5.647852897644043
1760999840.5185432,546907,4.947734355926514
1761000126.4962797,566038,5.04480504989624
1761000409.543885,584487,5.082922458648682
1761000702.229906,604150,5.288280487060547
1761000994.2356975,623103,5.482761383056641
1761001286.402264,642834,5.187057971954346
1761001575.981362,662007,5.171678066253662
1761001868.867309,681958,5.2338385581970215
1761002150.3330328,700394,5.27707576751709
1761002434.6646228,719358,5.075201988220215
1761002719.347072,738096,5.493315696716309
1761003011.3275616,757938,5.850227355957031
1761003300.9276404,777228,5.911375999450684
1761003592.2281172,796922,5.8692522048950195
1761003874.9009838,815665,5.713846683502197
1761004157.733769,834969,6.142426013946533
1761004445.795581,854071,6.127437591552734
1761004734.9431212,873983,5.557626724243164
1761005107.2805645,893862,5.839359283447266
1761005508.4184139,912917,5.807728290557861
1761005865.6565783,931961,5.836465835571289
1761006278.1762023,951547,5.813457489013672
1761006657.6901977,970462,6.001193523406982
1761006964.9360375,990262,6.107987880706787
