Wall time,Step,Value
1761517185.0345364,25000,2.12992525100708
1761518749.0046208,50000,0.48258140683174133
1761520310.5889945,75000,2.3984220027923584
1761521927.196204,100000,2.10170578956604
1761523521.6273172,125000,2.4923386573791504
1761524990.7028468,150000,1.2751049995422363
1761526458.6353602,175000,2.965060234069824
1761527926.1468043,200000,4.224445819854736
1761529381.3095925,225000,2.7915608882904053
1761530950.151118,250000,3.4470019340515137
1761532437.7957013,275000,2.7719664573669434
1761533922.3113136,300000,2.0462512969970703
1761535403.651368,325000,3.533400774002075
1761536840.6474252,350000,3.1126389503479004
1761538397.8152115,375000,2.2455503940582275
1761539859.9670606,400000,2.1992146968841553
1761541328.3436885,425000,4.545055866241455
1761542802.0195622,450000,3.868074893951416
1761544267.21015,475000,2.935154914855957
1761545869.2297592,500000,4.63391637802124
1761547341.0847945,525000,4.555785655975342
1761548833.919611,550000,1.9722721576690674
1761550409.7471406,575000,4.325582981109619
1761552227.8865917,600000,3.670182704925537
1761553854.7255516,625000,3.3550028800964355
1761555364.9563565,650000,3.544119119644165
1761556840.0420954,675000,4.312334060668945
1761558328.7253792,700000,2.659221649169922
1761559920.093694,725000,3.3628697395324707
1761561418.4163346,750000,2.9185500144958496
1761562913.130647,775000,2.708780288696289
1761564417.0448182,800000,4.257553577423096
1761565870.6812937,825000,2.217133045196533
1761567424.786183,850000,4.451725959777832
1761568901.1712632,875000,2.288465738296509
1761570386.7388382,900000,2.6952109336853027
1761571854.2208781,925000,4.7244696617126465
1761573367.299591,950000,1.5058026313781738
1761574945.9854825,975000,2.788484573364258
1761576455.7402084,1000000,2.0500431060791016
