Wall time,Step,Value
1761679167.99692,16678,1.857566237449646
1761679455.3388023,34194,2.5100183486938477
1761679755.0516758,51194,2.627333879470825
1761680056.0594997,67513,2.2892906665802
1761680365.8494387,84583,2.5996203422546387
1761680688.0052109,102239,2.757902145385742
1761681011.7969077,119125,2.9285969734191895
1761681351.4541094,137199,2.8621163368225098
1761681687.449136,154775,2.932852029800415
1761682026.4087846,172425,2.4949309825897217
1761682370.833393,190642,2.484273672103882
1761682702.007692,208266,2.8636221885681152
1761683046.2364929,226601,3.236630439758301
1761683419.7414303,245514,3.023658037185669
1761683817.4477367,264556,3.169556140899658
1761684297.3024716,283190,3.3092293739318848
1761684732.9142826,301832,3.3015615940093994
1761685228.7059822,321200,3.578545570373535
1761685650.1637814,339361,3.7351150512695312
1761686005.6021395,357990,4.003697395324707
1761686469.038174,376483,3.992243766784668
1761686874.6530287,394922,4.255051612854004
1761687320.5257497,413642,4.162504196166992
1761687781.5765574,432902,4.2344160079956055
1761688206.6238682,451544,4.349096298217773
1761688648.3188858,470234,4.5457072257995605
1761689118.3765156,490186,4.813683986663818
1761689525.1082375,508726,4.726086139678955
1761689906.4300652,528411,4.935103893280029
1761690260.8249302,546584,4.424283504486084
1761690677.4870512,565438,4.732653617858887
1761691157.4944205,584134,5.033841133117676
1761691795.4945226,603434,4.944277286529541
1761692382.1162307,622264,4.957549095153809
1761693047.2228465,642381,5.170844078063965
1761693671.319806,662309,4.710598468780518
1761694715.468359,682543,5.125698089599609
1761695506.5514312,703028,4.89552640914917
1761696165.7043374,724067,5.341000556945801
1761696677.468477,743790,5.38795280456543
1761697000.662963,763807,4.953763961791992
1761697336.011301,785113,5.430513381958008
1761697664.4356265,805876,5.7807698249816895
1761697987.8329937,826335,5.198551654815674
1761698314.676491,847029,5.110649108886719
1761698634.059715,866657,5.22006893157959
1761698958.4962947,887200,5.6213603019714355
1761699294.5369835,908087,5.508632659912109
1761699632.9084928,929757,5.023828983306885
1761699956.7782338,950247,5.335692882537842
1761700285.265807,971008,5.69541597366333
1761700625.7168853,992843,5.553807258605957
1761700950.9663203,1013365,5.781767845153809
1761701325.1070282,1033569,5.529081344604492
1761701683.3150368,1052898,5.361008644104004
1761702032.5497844,1073639,5.252774715423584
1761702359.8232865,1094304,5.871305465698242
1761702681.6798391,1114679,5.281116008758545
1761703001.5380173,1134579,5.3285417556762695
1761703332.8360956,1155442,5.328563690185547
1761703653.0743403,1175534,5.39258337020874
1761703988.142065,1197127,5.356179237365723
1761704322.4116495,1218472,5.174244403839111
1761704647.7968423,1239485,5.235878944396973
1761704979.4135394,1260547,5.542895317077637
1761705298.659852,1280696,5.365452766418457
1761705617.3068948,1300938,5.097988128662109
1761705931.8694983,1320427,5.215428829193115
1761706254.8556976,1340860,5.440443992614746
1761706589.574861,1362414,5.519435405731201
1761706910.96034,1382536,5.200549125671387
1761707227.8777173,1402341,5.47143030166626
1761707551.513273,1422945,5.1811909675598145
1761707879.4722505,1443867,5.405054092407227
1761708195.567697,1463763,5.4081573486328125
1761708513.6041543,1483543,5.491004943847656
1761708843.8765023,1504529,5.634470462799072
1761709167.0992136,1525153,5.1609787940979
1761709478.6918943,1544459,4.968959331512451
1761709801.8674169,1565035,5.449888229370117
1761710116.2260225,1584769,5.330224514007568
1761710445.0173066,1605379,4.766329288482666
1761710762.1963215,1625336,5.391470909118652
1761711074.7399905,1645001,4.9090576171875
1761711394.4940662,1664939,5.171795845031738
1761711713.854011,1685260,5.237014293670654
1761712027.1005754,1705279,4.998159408569336
1761712343.5513563,1724996,5.239251613616943
1761712661.6318731,1745365,5.357138156890869
1761712983.087943,1766002,5.872629642486572
1761713303.9533756,1786253,5.221255779266357
1761713634.0781949,1807275,5.664133071899414
1761713960.6618862,1827946,5.022274494171143
1761714300.7092962,1849334,5.4048075675964355
1761714621.0913346,1869797,5.214656829833984
1761714944.2395947,1890166,5.510653495788574
1761715255.5417583,1909743,4.9753828048706055
1761715567.3845704,1929492,5.485636234283447
1761715898.0475216,1950604,5.394848823547363
1761716215.8740437,1970638,5.251260280609131
1761716537.3053362,1991341,5.064695835113525
