Wall time,Step,Value
1761814796.1172483,25000,1.903576374053955
1761816417.1435568,50000,2.5331482887268066
1761818061.478609,75000,3.782933473587036
1761819720.521966,100000,1.920486569404602
1761822237.8093364,125000,3.4613378047943115
1761825085.3977904,150000,0.7584549784660339
1761826956.6729445,175000,1.904967188835144
1761828779.9095912,200000,3.010946750640869
1761830521.5182962,225000,1.8522006273269653
1761832259.980949,250000,1.901164174079895
1761834129.0749798,275000,2.9251201152801514
1761836118.006115,300000,3.4470138549804688
1761838113.6673055,325000,2.8797807693481445
1761840157.802316,350000,3.5108211040496826
1761842248.4052458,375000,2.6952617168426514
1761844380.5110965,400000,2.143852710723877
1761846400.1292236,425000,3.043440580368042
1761849321.5106878,450000,3.8888466358184814
1761850981.9541152,475000,5.637974739074707
1761852927.678839,500000,2.305795907974243
1761855122.2556884,525000,3.1972496509552
1761857036.0151513,550000,3.3286805152893066
1761858724.8368077,575000,3.6407058238983154
1761860496.5198045,600000,3.5637524127960205
1761862605.6478364,625000,3.5028293132781982
1761864462.9778054,650000,3.4436497688293457
1761866418.6029127,675000,2.518786668777466
1761868280.1439075,700000,4.372304916381836
1761870213.7177117,725000,4.796141624450684
1761872008.629417,750000,2.233137369155884
1761873863.8094115,775000,2.8209588527679443
1761876044.1221342,800000,5.244597434997559
1761878421.340168,825000,2.9628450870513916
1761880232.092287,850000,3.1803252696990967
1761881937.9352934,875000,4.347021102905273
1761883639.1969922,900000,5.307841777801514
1761885342.4245458,925000,2.9208686351776123
1761887054.5921934,950000,3.0184216499328613
1761888844.806005,975000,5.089704990386963
1761890585.5008423,1000000,4.149781227111816
